TYPE,ROADSECT_NAME,SECT10,SECT10_NAME,ROADSECT_FROM,ROAD_NO,ROADSECT_TO,ROADSECT_ID,ROADLENGTH,DIRNAME,JAM_SPEED
3,沙江路,5,宝安区,广深高速公路,7482,宝安大道,748201,1136,西-东,20
3,沙江路,5,宝安区,宝安大道,7482,广深公路,748202,1469,西-东,20
3,沙江路,5,宝安区,广深公路,7482,松罗路,748203,1161,西-东,20
3,沙江路,5,宝安区,松罗路,7482,松岗大道,748204,849,西-东,20
3,大和路,9,龙华区,雪岗北路,7493,清华东路,749301,676,南-北,20
3,大和路,9,龙华区,清华东路,7493,清平路,749302,628,南-北,20
3,大和路,9,龙华区,清平路,7493,机荷高速公路,749303,410,南-北,20
3,大和路,9,龙华区,机荷高速公路,7493,环观南路,749304,999,南-北,20
3,大和路,9,龙华区,环观南路,7493,人民路(观澜),749305,1312,南-北,20
3,大和路,9,龙华区,人民路(观澜),7493,环观中路,749306,901,南-北,20
3,大和路,9,龙华区,环观中路,7493,观澜大道,749307,394,南-北,20
3,大和路,9,龙华区,观澜大道,7494,环观中路,749401,373,北-南,20
3,大和路,9,龙华区,环观中路,7494,人民路(观澜),749402,904,北-南,20
3,大和路,9,龙华区,人民路(观澜),7494,环观南路,749403,1306,北-南,20
3,大和路,9,龙华区,环观南路,7494,机荷高速公路,749404,1010,北-南,20
3,大和路,9,龙华区,机荷高速公路,7494,清平路,749405,433,北-南,20
3,大和路,9,龙华区,清平路,7494,清华东路,749406,605,北-南,20
3,大和路,9,龙华区,清华东路,7494,雪岗北路,749407,685,北-南,20
4,东湖路(罗湖),2,罗湖区,丹平快速路,7501,太白路,750101,384,东-西,15
4,东湖路(罗湖),2,罗湖区,太白路,7501,金稻田路,750102,1032,东-西,15
3,公明北环大道,7,光明新区,华发北路,7531,长春北路,753102,770,东-西,20
3,公明北环大道,7,光明新区,长春北路,7531,下村路,753103,1062,东-西,20
3,公明北环大道,7,光明新区,下村路,7531,南光高速公路,753104,1345,东-西,20
3,公明北环大道,7,光明新区,南光高速公路,7531,西环大道,753105,992,东-西,20
3,公明北环大道,7,光明新区,西环大道,7532,南光高速公路,753201,1082,西-东,20
3,公明北环大道,7,光明新区,南光高速公路,7532,下村路,753202,1208,西-东,20
3,公明北环大道,7,光明新区,下村路,7532,长春北路,753203,1098,西-东,20
3,公明北环大道,7,光明新区,长春北路,7532,华发北路,753204,1564,西-东,20
3,公明北环大道,7,光明新区,华发北路,7532,民生大道,753205,540,西-东,20
4,红荔路,1,福田区,红岭中路,7541,上步中路,754101,859,东-西,15
4,红荔路,1,福田区,上步中路,7541,华强北路,754102,969,东-西,15
4,红荔路,1,福田区,华强北路,7541,华富路,754103,559,东-西,15
3,红荔路,1,福田区,华富路,7541,皇岗路,754104,860,东-西,20
3,红荔路,1,福田区,皇岗路,7541,彩田路,754105,533,东-西,20
3,红荔路,1,福田区,彩田路,7541,金田路(福田),754106,490,东-西,20
3,红荔路,1,福田区,金田路(福田),7541,益田路,754107,701,东-西,20
3,红荔路,1,福田区,益田路,7541,新洲路,754108,716,东-西,20
3,红荔路,1,福田区,新洲路,7542,益田路,754201,715,西-东,20
3,红荔路,1,福田区,益田路,7542,金田路(福田),754202,713,西-东,20
3,红荔路,1,福田区,金田路(福田),7542,彩田路,754203,495,西-东,20
3,红荔路,1,福田区,彩田路,7542,皇岗路,754204,517,西-东,20
3,红荔路,1,福田区,皇岗路,7542,华富路,754205,855,西-东,20
4,红荔路,1,福田区,华富路,7542,华强北路,754206,557,西-东,15
4,红荔路,1,福田区,华强北路,7542,上步中路,754207,977,西-东,15
4,红荔路,1,福田区,上步中路,7542,红岭中路,754208,859,西-东,15
3,红棉路,6,龙岗区,立信路,7553,布澜路,755301,782,南-北,20
3,红棉路,6,龙岗区,布澜路,7554,立信路,755401,768,北-南,20
4,华美路,5,宝安区,田园路,7561,松岗大道,756101,892,东-西,15
4,华美路,5,宝安区,松岗大道,7562,田园路,756201,893,西-东,15
4,立新路,5,宝安区,政丰北路,7583,大洋路,758301,1241,南-北,15
4,立新路,5,宝安区,大洋路,7584,政丰北路,758401,1246,北-南,15
4,荔园路(福永),5,宝安区,桥塘路,7591,永福路,759101,739,东-西,15
4,荔园路(福永),5,宝安区,永福路,7591,松福大道,759102,1020,东-西,15
4,荔园路(福永),5,宝安区,松福大道,7591,沿江高速,759103,787,东-西,15
4,荔园路(福永),5,宝安区,沿江高速,7592,松福大道,759201,774,西-东,15
4,荔园路(福永),5,宝安区,松福大道,7592,永福路,759202,1023,西-东,15
4,荔园路(福永),5,宝安区,永福路,7592,桥塘路,759203,752,西-东,15
4,梅园路,2,罗湖区,洪湖西路,7601,宝岗路,760101,531,东-西,15
4,梅园路,2,罗湖区,宝岗路,7601,红岭北路,760102,894,东-西,15
4,梅园路,2,罗湖区,红岭北路,7602,宝岗路,760201,890,西-东,15
4,梅园路,2,罗湖区,宝岗路,7602,洪湖西路,760202,536,西-东,15
3,民治大道,9,龙华区,梅坂大道,7613,民乐路,761301,513,南-北,20
3,民治大道,9,龙华区,民乐路,7613,民丰路,761302,686,南-北,20
3,民治大道,9,龙华区,民丰路,7613,民旺路,761303,1281,南-北,20
3,民治大道,9,龙华区,民旺路,7613,布龙路,761304,937,南-北,20
4,民治大道,9,龙华区,布龙路,7613,工业路,761305,1019,南-北,15
4,民治大道,9,龙华区,工业路,7614,布龙路,761401,1020,北-南,15
3,民治大道,9,龙华区,布龙路,7614,民旺路,761402,1042,北-南,20
3,民治大道,9,龙华区,民旺路,7614,民丰路,761403,1283,北-南,20
3,民治大道,9,龙华区,民丰路,7614,民乐路,761404,681,北-南,20
3,民治大道,9,龙华区,民乐路,7614,梅坂大道,761405,539,北-南,20
3,南山大道,3,南山区,东滨路,7623,创业路(南山),762301,917,南-北,20
3,南山大道,3,南山区,创业路(南山),7623,滨海大道,762302,676,南-北,20
3,南山大道,3,南山区,滨海大道,7623,桃园路,762303,933,南-北,20
3,南山大道,3,南山区,桃园路,7623,深南大道,762304,880,南-北,20
3,南山大道,3,南山区,深南大道,7623,玉泉路,762305,670,南-北,20
3,南山大道,3,南山区,玉泉路,7623,中山园路,762306,1385,南-北,20
3,南山大道,3,南山区,中山园路,7624,玉泉路,762401,1395,北-南,20
3,南山大道,3,南山区,玉泉路,7624,深南大道,762402,676,北-南,20
3,南山大道,3,南山区,深南大道,7624,桃园路,762403,858,北-南,20
3,南山大道,3,南山区,桃园路,7624,滨海大道,762404,937,北-南,20
3,南山大道,3,南山区,滨海大道,7624,创业路(南山),762405,666,北-南,20
3,南山大道,3,南山区,创业路(南山),7624,东滨路,762406,926,北-南,20
2,泥岗西路,2,罗湖区,泥岗东路,7631,八卦路,763101,259,东-西,30
2,泥岗西路,2,罗湖区,八卦路,7631,北环大道,763102,736,东-西,30
3,泥岗西路,1,福田区,北环大道,7631,华富路,763103,1339,东-西,20
3,泥岗西路,1,福田区,华富路,7632,北环大道,763201,1409,西-东,20
2,泥岗西路,2,福田区,北环大道,7632,八卦路,763202,613,西-东,30
2,泥岗西路,2,罗湖区,八卦路,7632,泥岗东路,763203,786,西-东,30
4,前海路,3,南山区,兴海大道,7643,沿江高速,764301,2249,南-北,15
4,前海路,3,南山区,沿江高速,7643,东滨路,764302,1153,南-北,15
3,前海路,3,南山区,东滨路,7643,创业路(南山),764303,815,南-北,20
3,前海路,3,南山区,创业路(南山),7643,桂庙路,764304,420,南-北,20
3,前海路,3,南山区,桂庙路,7643,学府路,764305,596,南-北,20
3,前海路,3,南山区,学府路,7643,桃园路,764306,446,南-北,20
3,前海路,3,南山区,桃园路,7643,南头街,764307,484,南-北,20
3,前海路,3,南山区,南头街,7643,宝安大道,764308,869,南-北,20
3,前海路,3,南山区,宝安大道,7644,南头街,764401,762,北-南,20
3,前海路,3,南山区,南头街,7644,桃园路,764402,487,北-南,20
3,前海路,3,南山区,桃园路,7644,学府路,764403,446,北-南,20
3,前海路,3,南山区,学府路,7644,桂庙路,764404,613,北-南,20
4,东湖路(罗湖),2,罗湖区,金稻田路,7502,太白路,750201,1032,西-东,15
4,东湖路(罗湖),2,罗湖区,太白路,7502,丹平快速路,750202,404,西-东,15
4,福民路(福田),1,福田区,福强路,7511,金田路(福田),751101,367,东-西,15
4,福民路(福田),1,福田区,金田路(福田),7511,益田路,751102,832,东-西,15
4,福民路(福田),1,福田区,益田路,7511,新洲路,751103,738,东-西,15
4,福民路(福田),1,福田区,新洲路,7512,益田路,751201,742,西-东,15
4,福民路(福田),1,福田区,益田路,7512,金田路(福田),751202,833,西-东,15
4,福民路(福田),1,福田区,金田路(福田),7512,福强路,751203,365,西-东,15
4,福前路,9,龙华区,悦兴路,7523,观光路,752301,2543,南-北,15
4,福前路,9,龙华区,观光路,7523,桂月路,752302,1994,南-北,15
4,福前路,9,龙华区,桂月路,7524,观光路,752401,1994,北-南,15
4,福前路,9,龙华区,观光路,7524,悦兴路,752402,2542,北-南,15
3,公明北环大道,7,光明新区,民生大道,7531,华发北路,753101,1361,东-西,20
3,前海路,3,南山区,桂庙路,7644,创业路(南山),764405,404,北-南,20
3,前海路,3,南山区,创业路(南山),7644,东滨路,764406,804,北-南,20
4,前海路,3,南山区,东滨路,7644,沿江高速,764407,1155,北-南,15
4,前海路,3,南山区,沿江高速,7644,兴海大道,764408,2243,北-南,15
3,清林路,6,龙岗区,德政路,7651,吉祥路,765101,450,东-西,20
3,清林路,6,龙岗区,吉祥路,7651,爱心路,765102,949,东-西,20
3,清林路,6,龙岗区,爱心路,7651,黄阁路,765103,1129,东-西,20
3,清林路,6,龙岗区,黄阁路,7651,盐龙大道,765104,931,东-西,20
3,清林路,6,龙岗区,盐龙大道,7652,黄阁路,765201,685,西-东,20
3,清林路,6,龙岗区,黄阁路,7652,爱心路,765202,1127,西-东,20
3,清林路,6,龙岗区,爱心路,7652,吉祥路,765203,952,西-东,20
3,清林路,6,龙岗区,吉祥路,7652,德政路,765204,458,西-东,20
3,新东路,10,大鹏新区,高山角,7661,沙湾,766101,5098,东-西,20
3,新东路,10,大鹏新区,沙湾,7661,东大路,766102,3184,东-西,20
3,新东路,10,大鹏新区,东大路,7661,东大路,766103,2188,东-西,20
3,新东路,10,大鹏新区,东大路,7661,碧东路,766104,619,东-西,20
3,新东路,10,大鹏新区,碧东路,7661,新大路,766105,1181,东-西,20
3,新东路,10,大鹏新区,新大路,7662,碧东路,766201,1176,西-东,20
3,新东路,10,大鹏新区,碧东路,7662,东大路,766202,629,西-东,20
3,新东路,10,大鹏新区,东大路,7662,东大路,766203,2188,西-东,20
3,新东路,10,大鹏新区,东大路,7662,沙湾,766204,3184,西-东,20
3,新东路,10,大鹏新区,沙湾,7662,高山角,766205,5098,西-东,20
4,新园路,2,罗湖区,晒布路,7674,解放路,767401,740,北-南,15
4,兴业路,5,宝安区,海秀路,7683,罗田路,768301,817,南-北,15
4,兴业路,5,宝安区,罗田路,7683,新安六路,768302,723,南-北,15
4,兴业路,5,宝安区,新安六路,7683,海城路,768303,679,南-北,15
4,兴业路,5,宝安区,海城路,7683,西乡大道,768304,913,南-北,15
4,兴业路,5,宝安区,西乡大道,7683,银田路,768305,1430,南-北,15
4,兴业路,5,宝安区,银田路,7684,西乡大道,768401,1429,北-南,15
4,兴业路,5,宝安区,西乡大道,7684,海城路,768402,914,北-南,15
4,兴业路,5,宝安区,海城路,7684,新安六路,768403,720,北-南,15
4,兴业路,5,宝安区,新安六路,7684,罗田路,768404,680,北-南,15
4,兴业路,5,宝安区,罗田路,7684,海秀路,768405,808,北-南,15
3,盐龙大道,6,龙岗区,龙岗大道,7691,教育北路,769101,3555,东-西,20
3,盐龙大道,6,龙岗区,教育北路,7691,农轩路,769102,4183,东-西,20
3,盐龙大道,6,龙岗区,农轩路,7691,新生路,769103,2112,东-西,20
3,盐龙大道,6,龙岗区,新生路,7691,龙西中路,769104,600,东-西,20
3,盐龙大道,6,龙岗区,龙西中路,7691,长兴北路,769105,876,东-西,20
3,盐龙大道,6,龙岗区,长兴北路,7691,友谊路,769106,807,东-西,20
3,盐龙大道,6,龙岗区,友谊路,7691,回龙路,769107,844,东-西,20
3,盐龙大道,6,龙岗区,回龙路,7691,愉龙路,769108,765,东-西,20
3,盐龙大道,6,龙岗区,愉龙路,7691,黄阁路,769109,1153,东-西,20
3,盐龙大道,6,龙岗区,黄阁路,7691,龙平西路,769110,562,东-西,20
2,盐龙大道,6,龙岗区,龙平西路,7691,清林路,769111,589,东-西,30
2,盐龙大道,6,龙岗区,清林路,7691,如意路(龙岗),769112,1882,东-西,30
2,盐龙大道,6,龙岗区,如意路(龙岗),7691,龙翔大道,769113,2829,东-西,30
2,盐龙大道,6,龙岗区,龙翔大道,7692,如意路(龙岗),769201,2684,西-东,30
2,盐龙大道,6,龙岗区,如意路(龙岗),7692,清林路,769202,1391,西-东,30
2,盐龙大道,6,龙岗区,清林路,7692,龙平西路,769203,804,西-东,30
3,盐龙大道,6,龙岗区,龙平西路,7692,黄阁路,769204,554,西-东,20
3,盐龙大道,6,龙岗区,黄阁路,7692,愉龙路,769205,1139,西-东,20
3,盐龙大道,6,龙岗区,愉龙路,7692,回龙路,769206,780,西-东,20
3,盐龙大道,6,龙岗区,回龙路,7692,友谊路,769207,807,西-东,20
3,盐龙大道,6,龙岗区,友谊路,7692,长兴北路,769208,816,西-东,20
3,盐龙大道,6,龙岗区,长兴北路,7692,龙西中路,769209,446,西-东,20
3,盐龙大道,6,龙岗区,龙西中路,7692,新生路,769210,1331,西-东,20
3,盐龙大道,6,龙岗区,新生路,7692,农轩路,769211,1848,西-东,20
3,盐龙大道,6,龙岗区,农轩路,7692,教育北路,769212,4161,西-东,20
3,盐龙大道,6,龙岗区,教育北路,7692,龙岗大道,769213,3547,西-东,20
4,永和路,5,宝安区,福洲大道（福永）,7703,豪业路,770301,493,南-北,15
4,永和路,5,宝安区,豪业路,7703,重庆路,770302,415,南-北,15
4,永和路,5,宝安区,重庆路,7703,桥和路,770303,576,南-北,15
4,永和路,5,宝安区,桥和路,7703,和秀西路,770304,479,南-北,15
4,永和路,5,宝安区,和秀西路,7703,荔园路(福永),770305,473,南-北,15
4,永和路,5,宝安区,荔园路(福永),7703,凤塘大道,770306,517,南-北,15
4,永和路,5,宝安区,凤塘大道,7703,兴业西路,770307,605,南-北,15
4,永和路,5,宝安区,兴业西路,7704,凤塘大道,770401,615,北-南,15
4,永和路,5,宝安区,凤塘大道,7704,荔园路(福永),770402,515,北-南,15
4,永和路,5,宝安区,荔园路(福永),7704,和秀西路,770403,474,北-南,15
4,永和路,5,宝安区,和秀西路,7704,桥和路,770404,478,北-南,15
4,永和路,5,宝安区,桥和路,7704,重庆路,770405,579,北-南,15
4,永和路,5,宝安区,重庆路,7704,豪业路,770406,412,北-南,15
4,永和路,5,宝安区,豪业路,7704,福洲大道（福永）,770407,484,北-南,15
4,永香西路,6,龙岗区,民康路,7713,五和大道,771301,886,南-北,15
4,永香西路,6,龙岗区,五和大道,7714,民康路,771401,888,北-南,15
4,政丰北路,5,宝安区,政丰南路,7731,福海大道,773101,696,东-西,15
3,政丰北路,5,宝安区,福海大道,7731,立新路,773102,652,东-西,20
3,政丰北路,5,宝安区,立新路,7732,福海大道,773201,646,西-东,20
4,政丰北路,5,宝安区,福海大道,7732,政丰南路,773202,694,西-东,15
4,中心大道,10,大鹏新区,滨海二路,7743,鹏飞路,774301,2360,南-北,15
4,中心大道,10,大鹏新区,鹏飞路,7744,滨海二路,774401,2360,北-南,15
4,金葵东路,10,大鹏新区,延安路,7751,银葵路,775101,684,东-西,15
3,金葵东路,10,大鹏新区,银葵路,7751,金业大道,775102,1100,东-西,20
3,金葵东路,10,大鹏新区,金业大道,7752,银葵路,775201,1202,西-东,20
4,金葵东路,10,大鹏新区,银葵路,7752,延安路,775202,686,西-东,15
3,创业二路,5,宝安区,宝石路,7761,留仙一路,776101,1035,东-西,20
3,创业二路,5,宝安区,留仙一路,7761,新安三路,776102,701,东-西,20
3,创业二路,5,宝安区,新安三路,7761,前进一路,776103,919,东-西,20
3,创业二路,5,宝安区,前进一路,7761,广深公路,776104,870,东-西,20
3,创业二路,5,宝安区,广深公路,7762,前进一路,776201,878,西-东,20
3,创业二路,5,宝安区,前进一路,7762,新安三路,776202,904,西-东,20
3,创业二路,5,宝安区,新安三路,7762,留仙一路,776203,702,西-东,20
3,创业二路,5,宝安区,留仙一路,7762,宝石路,776204,1033,西-东,20
4,创业路(公明),7,光明新区,风景路,7791,创维路,779101,813,东-西,15
4,创业路(公明),7,光明新区,创维路,7791,人民路(公明),779102,517,东-西,15
4,创业路(公明),7,光明新区,人民路(公明),7792,创维路,779201,516,西-东,15
4,创业路(公明),7,光明新区,创维路,7792,风景路,779202,808,西-东,15
3,创业一路,5,宝安区,广深公路,7811,宝安大道,781101,894,东-西,20
3,创业一路,5,宝安区,宝安大道,7811,新湖路,781102,644,东-西,20
3,创业一路,5,宝安区,新湖路,7811,裕安一路,781103,797,东-西,20
3,创业一路,5,宝安区,裕安一路,7812,新湖路,781201,830,西-东,20
3,创业一路,5,宝安区,新湖路,7812,宝安大道,781202,632,西-东,20
3,创业一路,5,宝安区,宝安大道,7812,广深公路,781203,887,西-东,20
4,翠竹路(龙岗),6,龙岗区,银威路,7823,龙岗大道,782301,571,南-北,15
4,翠竹路(龙岗),6,龙岗区,龙岗大道,7824,银威路,782401,572,北-南,15
4,翠竹路(罗湖),2,罗湖区,东门北路,7833,太宁路,783301,1224,南-北,15
4,翠竹路(罗湖),2,罗湖区,太宁路,7833,布心路,783302,1052,南-北,15
4,翠竹路(罗湖),2,罗湖区,布心路,7834,太宁路,783401,1063,北-南,15
4,翠竹路(罗湖),2,罗湖区,太宁路,7834,东门北路,783402,1214,北-南,15
4,福中路(福田),1,福田区,皇岗路,7841,彩田路,784101,532,东-西,15
